agency_id,route_id,route_long_name,route_short_name,route_desc,route_type
DIMTS,1,102ADOWN,102ADOWN,Rohini Sec 22 Terminal to Azadpur Terminal,3
DIMTS,2,102ASTLDOWN,102ASTLDOWN,Rohini Sec 22 Terminal to Rani Khera Depot 1,3
DIMTS,3,102ASTLUP,102ASTLUP,Rani Khera Depot 1 to Rohini Sec 22 Terminal,3
DIMTS,4,102AUP,102AUP,Azadpur Terminal to Rohini Sec 22 Terminal,3
DIMTS,5,102DOWN,102DOWN,Rohini Sec 22 Terminal to Old Delhi Railway Station (T),3
DIMTS,6,102LSTLDOWN,102LSTLDOWN,Kanjhawala Village (T) to Rani Khera Depot 1,3
DIMTS,7,102LSTLUP,102LSTLUP,Rani Khera Depot 1 to Kanjhawala Village (T),3
DIMTS,8,102STLDOWN,102STLDOWN,Rohini Sec 22 Terminal to Rani Khera Depot 3,3
DIMTS,9,102STLUP,102STLUP,Rani Khera Depot 3 to Rohini Sec 22 Terminal,3
DIMTS,10,102UP,102UP,Old Delhi Railway Station (T) to Rohini Sec 22 Terminal,3
DIMTS,12,103EDOWN,103EDOWN,Alipur Village GT Road to Old Delhi Railway Station (T),3
DIMTS,13,103EUP,103EUP,Old Delhi Railway Station to Alipur Village GT Road,3
DIMTS,14,103LSTLDOWN,103LSTLDOWN,Rani Khera Depot 1 to Mubarakpur Dabas Village,3
DIMTS,15,103LSTLUP,103LSTLUP,Mubarakpur Dabas Village to Rani Khera Depot 1,3
DIMTS,24,106LSTLDOWN,106LSTLDOWN,Sri Krishan Apartments /  Rohini Sec 16 to Rohini Sec 37 E Bus Depot,3
DIMTS,25,106LSTLUP,106LSTLUP,Rohini Sec 37 E Bus Depot to Rohini Sector-16,3
DIMTS,29,107DOWN,107DOWN,Katewara Village to Old Delhi Railway Station (T),3
DIMTS,30,107STLDOWN,107STLDOWN,Katewara Village to Rani Khera Depot 1,3
DIMTS,31,107STLUP,107STLUP,Rani Khera Depot 1 to Katewara Village,3
DIMTS,32,107UP,107UP,Old Delhi Railway Station to Katewara Village,3
DIMTS,33,108ADOWN,108ADOWN,Hari Nagar Shaheed Pawan Sahni Chowk to Shakti Nagar Nangia Park,3
DIMTS,34,108AUP,108AUP,Chowki No 2 / Gulabi Bagh Crossing to Hari Nagar Shaheed Pawan Sahni Chowk,3
DIMTS,37,109ADOWN,109ADOWN,Bankner Village to Alipur Village GT Road,3
DIMTS,38,109AUP,109AUP,Alipur Village GT Road to Bankner Village,3
DIMTS,40,109STLDOWN,109STLDOWN,Bankner Village to Bawana Sec 1 Depot Bus Stop,3
DIMTS,41,109STLUP,109STLUP,Bawana Sec 1 Cluster Depot to Bankner Village,3
DIMTS,43,112ADOWN,112ADOWN,Safiabad Border Shiv Mandir to Alipur Village GT Road,3
DIMTS,44,112AUP,112AUP,Alipur Village GT Road to Safiabad Border Shiv Mandir,3
DIMTS,46,112STLDOWN,112STLDOWN,Safiabad Border Shiv Mandir to Bawana Sec 5 Cluster Depot,3
